file,utterance_no,text,text_corrected,
01590001-21,250,G. G.,G G.,
01590001-21,521,"H. H. Oh, can you try it out for smack.","H H. Oh, can you try it out for smack.",
01640001-12,96,"This is someone who has been at my snack table all year. A D D. I. E. A. B. B. B. So this is an ass. or something like a, a.","This is someone who has been at my snack table all year. A D D I E A B B B. So this is an ass. or something like a, a.",
01640001-12,110,"Okay, you ready for another one? Yeah, we did B. E. E. E. Are you ready for another one?","Okay, you ready for another one? Yeah, we did B E E E. Are you ready for another one?",
01640001-16,555,H. H. H. H. H. H. H. Horry up.,H H H H H H H. Horry up.,
01740001-09,23,D. D. D. D.,D D D D.,
01740001-09,24,D. D.,D D.,
01970002-08,99,J. M. Mary.,J M. Mary.,
01970002-08,101,J. M. M. M.,J M M M.,
01990001-51,50," [name] or [name]? Your last thing is before? B for [name], B for [name]. B B B B. B. B. B. That should"," [name] or [name]? Your last thing is before? B for [name], B for [name]. B B B B B B B. That should",
01990001-51,110,L. L. A. L L. A.,L L A L L A.,
02100001-03,29,"W. I. M. W. I M. M. V. L E, L E, D, O N. D, B, O, D, D, O, D, D, D, Mmle Dun.","W I M W I M M V L E, L E, D, O N D, B, O, D, D, O, D, D, D, Mmle Dun.",
02100001-03,50,"D.J. Oh, D.J. Okay. I. C. We have wash your hands. Versus.","DJ. Oh, DJ. Okay. I C. We have wash your hands. Versus.",
02100001-03,136,Of T. H.E. is the and E and D in the end. Okay. So it looks like what say it's like.,Of T H E is the and E and D in the end. Okay. So it looks like what say it's like.,
02100001-03,184,[name]. A. A. A.,[name]. A A A.,
02390001-17,7,Listen to this name. A and [name],Listen to this name. A and [name],
02390001-17,244," M, M, M, M, M, M, M, M, M. M. M. M. M. M. M. M. M. M. M. M. M. This teacher, her name... Mm-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m- and for [name]. Okay, this teacher, oh this is a good clue, this teacher that I'm thinking of,","M, M, M, M, M, M, M, M, M M M M M M M M M M M M M. This teacher, her name... Mm-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m- and for [name]. Okay, this teacher, oh this is a good clue, this teacher that I'm thinking of,",
02490001-02,233,H. H.,H H.,
02550001-37,603,H. H.,H H.,
02670001-07,58,Do you want to say [name] or M. D.,Do you want to say [name] or M D.,
02730001-15,75,[name]. W. W whose name that is?,[name] W W whose name that is?,
02730001-15,124,"R, G. Y. Okay now hold this for a second off to the gym to look at his picture while I'll be right back","R, G Y. Okay now hold this for a second off to the gym to look at his picture while I'll be right back",
02740001-08,74,M. A. Okay. And it is okay.,M A. Okay. And it is okay.,
02740001-08,116," All right, [name]."," All right, [name].",
02740001-34,10, [name], [name].,
02740001-34,19," Oh, [name]. Oh, [name]."," Oh, [name]. Oh, [name].",
02740001-34,20," Oh, [name]."," Oh, [name].",
02740001-35,666," Okay, [name]. Let's see, [name] and [name], [name] and [name]."," Okay, [name]. Let's see, [name] and [name], [name] and [name].",
02750002-11,64,Okay. I. H. H.,Okay. I H H.,
02750002-43,6,"Push, bring me for us. Big. H. D. H. D. Hush.","Push, bring me for us. Big. H D H D. Hush.",
02800001-23,100,P. P.,P P.,
02980001-25,49,What is back? H. H. H. H. H. H. H. H. H. H. H. H. H. H. H. H. H. H. H. H. H. H. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A So what about you? Orange?,What is back? H H H H H H H H H H H H H H H H H H H H H H A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A. So what about you? Orange?,
